table_no,table_title,source_table_index,source_row,row_kind,subsection,explicit_code,effective_parent_code,work_type,basis,unit_raw,time_norm_raw_person_hours
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,13,norm,Йўл четини қўл кучи билан текислаш.,1-1-5б,1-1-5б,100 mm гача чуқурликда,К1-5б,100 m2,"11,2"
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,14,norm,Йўл четини қўл кучи билан текислаш.,1-1-6,1-1-6,Ўт ва ажриқлардан қўл кучи ёрдамида тозалаш,К1-6,100 m2,"0,83"
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,15,variant_or_continuation,Йўл четини қўл кучи билан текислаш.,,1-1-6,Ўт ва ажриқлардан майса ўргич (газонакасилка) ёрдамида тозалаш,,100 m2,"0,5"
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,16,norm,Йўл четини қўл кучи билан текислаш.,1-1-7,1-1-7,Тозалаб олинган ўт ва ажриқларни 50 m гача ташиш билан чиқариб ташлаш,К1-7,100 m2,"0,33"
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,17,norm,Йўл четини қўл кучи билан текислаш.,1-1-8,1-1-8,Механизация усулда ўт ва ажриқлардан тозалаш,К1-8,1 km,"0,94"
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,18,norm,Йўл четини қўл кучи билан текислаш.,1-1-9,1-1-9,Автогрейдер билан бир издан 3 марта юриб текислаш,К1-9,1 km,"0,87"
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,19,norm,Йўл четини қўл кучи билан текислаш.,1-1-10,1-1-10,Буталарни қўл кучи билан кесиш,К1-10,1 та бута,"0,34"
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,20,norm,Йўл четини қўл кучи билан текислаш.,1-1-11,1-1-11,Турли предмет ва чиқинди-лардан тозалаш,К1-11,1 km,0.98
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,21,norm,Йўл четини қўл кучи билан текислаш.,1-1-12,1-1-12,"Дарахтларни буташ, шакл бериш, шохларни жамлаш:",К1-12,,
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,22,norm,Йўл четини қўл кучи билан текислаш.,1-1-12а,1-1-12а,Ўзак қалинлиги 100 mm гача,К1-12а,1 дона,0.22
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,23,norm,Йўл четини қўл кучи билан текислаш.,1-1-12б,1-1-12б,Ўзак қалинлиги 150 mm гача,К1-12 б,1 дона,0.37
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,24,norm,Йўл четини қўл кучи билан текислаш.,1-1-12в,1-1-12в,Ўзак қалинлиги 200 mm гача,К1-12в,1 дона,0.47
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,25,norm,Йўл четини қўл кучи билан текислаш.,1-1-12г,1-1-12г,Ўзак қалинлиги 250 mm гача,К1-12г,1 дона,0.66
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,26,norm,Йўл четини қўл кучи билан текислаш.,1-1-12д,1-1-12д,Ўзак қалинлиги 400 mm гача,К1-12д,1 дона,0.9
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,27,norm,Йўл четини қўл кучи билан текислаш.,1-1-12е,1-1-12е,Ўзак қалинлиги 400 mm дан ортиқ,К1-12е,1 дона,1.25
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,28,norm,Йўл четини қўл кучи билан текислаш.,1-1-12ж,1-1-12ж,Якка буталар,К1-12ж,100 дона,"1,1"
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,29,heading,3. Йўл чети ариқчалари (кюветлар),,1-1-12ж,3. Йўл чети ариқчалари (кюветлар),,,
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,30,norm,3. Йўл чети ариқчалари (кюветлар),1-3-1,1-3-1,Автогрейдер билан юриб кювет профилини қайта тиклаш,К1-14,1 km,"0,25"
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,31,norm,3. Йўл чети ариқчалари (кюветлар),1-3-2,1-3-2,Кюветларни қўл кучи билан тозалаш,К1-15,1 m3,"1,3"
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,32,norm,3. Йўл чети ариқчалари (кюветлар),1-3-3,1-3-3,Кюветлар профилини қўл кучи билан тиклаш,К1-16,1 pm,0.06
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,33,norm,3. Йўл чети ариқчалари (кюветлар),1-3-4,1-3-4,Бетон ариқча (лоток) ларни қўл кучи билан тозалаш,К1-17,10 pm,"0,72"
1,1. Йўл пойини сақлаш учун вақт меъёрлари,2,34,norm,3. Йўл чети ариқчалари (кюветлар),1-1-6,1-1-6,Ўт ва ажриқлардан қўл кучи ёрдамида тозалаш,ШНК 47-01-080-7,100 m2,0.67
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,3,norm,,2-1-1,2-1-1,Қопламанинг бузилган жойларини таъмирлаш:,К2-1,,
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,4,variant_or_continuation,,,2-1-1,а) эски қопламани бузиб: 1 m2 юза гача 50 mm қалинликда,,1 m2,"0,66"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,5,variant_or_continuation,,,2-1-1,70 mm қалинликда,,1 m2,"0,83"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,6,variant_or_continuation,,,2-1-1,2 m2 юзагача 50 mm қалинликда,,1m2,"0,5"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,7,variant_or_continuation,,,2-1-1,70 mm қалинликда,,1m2,"0,58"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,8,variant_or_continuation,,,2-1-1,3 m2 юзагача 50 mm қалинликда,,1m2,"0,44"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,9,variant_or_continuation,,,2-1-1,70 mm қалинликда,,1m2,"0,5"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,10,variant_or_continuation,,,2-1-1,10 m2 юзагача 50 mm қалинликда,,1m2,"0,17"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,11,variant_or_continuation,,,2-1-1,70 mm қалинликда,,1m2,"0,2"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,12,variant_or_continuation,,,2-1-1,25 m2 юзагача 50 mm қалинликда,,1m2,"0,1"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,13,variant_or_continuation,,,2-1-1,70 mm қалинликда,,1m2,"0,12"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,14,variant_or_continuation,,,2-1-1,б) эски қопламани бузмасдан:,,1m2,
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,15,variant_or_continuation,,,2-1-1,1 m2 юзагача 50 mm қалинликда,,1m2,"0,5"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,16,variant_or_continuation,,,2-1-1,70 mm қалинликда,,1 m2,"0,66"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,17,variant_or_continuation,,,2-1-1,2 m2 юзагача 50 mm қалинликда,,1 m2,"0,41"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,18,variant_or_continuation,,,2-1-1,70 mm қалинликда,,1 m2,"0,5"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,19,variant_or_continuation,,,2-1-1,3 m2 юзада 50 mm қалинликда,,1 m2,"0,38"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,20,variant_or_continuation,,,2-1-1,70 mm қалинликда,,1 m2,"0,44"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,21,variant_or_continuation,,,2-1-1,10 m2 юзада 50 mm қалинликда,,1 m2,"0,16"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,22,variant_or_continuation,,,2-1-1,70 mm қалинликда,,1 m2,"0,17"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,23,variant_or_continuation,,,2-1-1,25 m2 юзагача 50 mm қалинликда,,1 m2,"0,1"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,24,variant_or_continuation,,,2-1-1,70 mm қалинликда,,1 m2,"0,12"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,25,variant_or_continuation,,,2-1-1,"Оғирлиги 0,5-2 t бўлган моторли каток билан ямоқ қилинган йўл қисмларини зичлаш",,100 m2,"1,2"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,26,norm,,2-2-1,2-2-1,Оғирлиги 5-6 t бўлган каток билан ямоқ қилинган йўл қисмларини зичлаш,К2-2,100 m2,"1,1"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,27,norm,,2-3-1,2-3-1,Ямоқларни қўлга мосланган зичлагич билан зичлаш,К2-3,100 m2,0.67
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,28,norm,,2-4-1,2-4-1,Қопламада ҳосил бўлган ёриқларга битум қуйиш (автогудронатор ёрдамида),К2-4,100 m ёриқ,"1,34 (0,17)"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,29,norm,,2-5-1,2-5-1,Қопламада ҳосил бўлган ёриқларга битум қуйиш (кул мосламаси ёрдамида),К2-5,100 m ёриқ,"1,6"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,30,norm,,2-6-1,2-6-1,Қопламада ҳосил бўлган ёриқларга битум қуйиш (лейка ёрдамида),К2-6,100 m ёриқ,"3,3"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,31,norm,,2-14-1,2-14-1,Қопламани махсус машиналарлар ёрдамида чанг ва ифлосликлардан тозалаш,К2-7,100 m2,"0.024 (0,024)"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,32,variant_or_continuation,,,2-14-1,Қўл кучи билан,,,"1,9"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,33,norm,,2-9-1,2-9-1,"Йўл ўқ чизиқларини ГАЗЕЛ, ИСУЗИ механизмлари ёрдамида чизиш",К2-8,1km,"1,5–2,5"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,34,variant_or_continuation,,,2-9-1,Йўл ўқ чизиқларини LineLazer 3400 Graco механизмлари ёрдамида чизиш,К2-8,1 km,"2,0"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,35,variant_or_continuation,,,2-9-1,Йўл ўқи ва қоплама чети ётиқ чизиқларини қўлда чизиш,К2-8,100 m,2.7
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,36,norm,,2-10-1,2-10-1,Пиёдалар ўтиш жойини қўлда чизиш,,,
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,37,norm,,2-11-1а,2-11-1а,Трафарет билан,К2-9а,1 m2,"0,23"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,38,norm,,2-11-1б,2-11-1б,Трафаретсиз,К2-9б,1 m2,"0,27"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,39,norm,,2-13-1,2-13-1,Қопламага чанга карши сув сепиш (сув сепиш машинаси билан),К2-10,1000 m2,"0,14"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,40,variant_or_continuation,,,2-13-1,Термопласт билан белгиланган пиёдалар ўтиш жойлари ва шовқин поласаларини сув ҳамда бошқа кимёвий моддалар билан тозалаш,,1 m2,"0,03-0,05"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,41,variant_or_continuation,,,2-13-1,Термопласт билан йўл ўқ чизиқларини чизиш,,1 m²,"0,25"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,42,variant_or_continuation,,,2-13-1,Термопласт билан пиёдалар ўтиш жойлари ва шовқин поласаларини чизиш,,1 m²,"0,33"
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,43,variant_or_continuation,,,2-13-1,Совуқ пластик билан йўл ўқ чизиқларини чизиш,,1 m²,0.2
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,44,variant_or_continuation,,,2-13-1,Совуқ пластик билан пиёдалар ўтиш жойлари ва шовқин поласаларини чизиш,,1 m²,0.3
2,2. Асфальтбетон қопламаларни сақлаш учун вақт меъёрлари,3,45,variant_or_continuation,,,2-13-1,Автомобиль йўллари четига қайта тикланувчи чиқиндилар учун металдан ясалган идишлар ўрнатиш. (бакалашка ва бошқа шаклда),,1 дона,"1,0-1,5"
3,3. Цементбетон қопламаларни сақлаш учун вақт меъёрлари,4,3,norm,,3-1-1,3-1-1,Қопламанинг бузилган жойларини асфальтбетон қоришмаси билан таъмирлаш:,К2-1,,
3,3. Цементбетон қопламаларни сақлаш учун вақт меъёрлари,4,4,norm,,3-1-1а,3-1-1а,а) эски қопламани бузмасдан 1 m2 юзада 50 mm қалинликда,,1 m2,0.44
3,3. Цементбетон қопламаларни сақлаш учун вақт меъёрлари,4,5,norm,,3-1-1б,3-1-1б,70 mm қалинликда,,1 m2,0.54
3,3. Цементбетон қопламаларни сақлаш учун вақт меъёрлари,4,6,norm,,3-1-1в,3-1-1в,2 m2 юзада 50 mm қалинликда,,1 m2,0.38
3,3. Цементбетон қопламаларни сақлаш учун вақт меъёрлари,4,7,norm,,3-1-1г,3-1-1г,70 mm қалинликда,,1 m2,0.44
3,3. Цементбетон қопламаларни сақлаш учун вақт меъёрлари,4,8,norm,,3-1-1д,3-1-1д,3m2 юзада 50 mm қалинликда,,1 m2,0.33
3,3. Цементбетон қопламаларни сақлаш учун вақт меъёрлари,4,9,norm,,3-1-1е,3-1-1е,70 mm қалинликда,,1 m2,0.34
3,3. Цементбетон қопламаларни сақлаш учун вақт меъёрлари,4,10,norm,,3-1-1ж,3-1-1ж,10m2 юзада 50 mm қалинликда,,1 m2,0.18
3,3. Цементбетон қопламаларни сақлаш учун вақт меъёрлари,4,11,norm,,3-1-1з,3-1-1з,70 mm қалинликда,,1 m2,0.22
3,3. Цементбетон қопламаларни сақлаш учун вақт меъёрлари,4,12,norm,,3-1-1и,3-1-1и,25 m2 юзада 50 mm қалинликда,,1 m2,0.1
3,3. Цементбетон қопламаларни сақлаш учун вақт меъёрлари,4,13,norm,,3-1-1к,3-1-1к,70 mm қалинликда,,1 m2,0.13
3,3. Цементбетон қопламаларни сақлаш учун вақт меъёрлари,4,14,norm,,3-2-2,3-2-2,Оғирлиги 5-6 t бўлган каток билан ямоқ қилинган йўл қисмларини зичлаш,К2-2,100 m2,1.1
3,3. Цементбетон қопламаларни сақлаш учун вақт меъёрлари,4,15,norm,,3-3-3,3-3-3,Ямоқларни қўлга мосланган зичлагич билан зичлаш,К2-3,100 m2,0.67
3,3. Цементбетон қопламаларни сақлаш учун вақт меъёрлари,4,16,norm,,3-4-1,3-4-1,Қопламанинг кўндаланг ва бўйлама чокларини битум қуйқаси ёки махсус тайёрланган мастика билан тўлдириш:,К3-1,100 m,
3,3. Цементбетон қопламаларни сақлаш учун вақт меъёрлари,4,17,variant_or_continuation,,,3-4-1,Чокларни тозалаб жойида таёрланган мастикани компрессор билан,,100 m,"7,4"
3,3. Цементбетон қопламаларни сақлаш учун вақт меъёрлари,4,18,variant_or_continuation,,,3-4-1,"Чокларни тозалаб тайёр мастикани қизитиб, копрессор билан",,100 m,5
3,3. Цементбетон қопламаларни сақлаш учун вақт меъёрлари,4,19,variant_or_continuation,,,3-4-1,жойида таёрланган мастикани копрессор билан қўл кучи билан лейкада,,100 m,"8,6"
3,3. Цементбетон қопламаларни сақлаш учун вақт меъёрлари,4,20,norm,,3-5-1,3-5-1,Йўл ўқ чизиқларини механизм ёрдамида чизиш ДЭ-3 трактори билан,К2-9,1 km,"3,95 (0,79)"
3,3. Цементбетон қопламаларни сақлаш учун вақт меъёрлари,4,21,norm,,3-6-1,3-6-1,Чанга қарши қопламага сув сепиш,К2-11,1000 m2,"0,14"
3,3. Цементбетон қопламаларни сақлаш учун вақт меъёрлари,4,22,norm,,3-7-1,3-7-1,Қопламани махсус машиналар ёрдамида чанг ва ифлосликлардан тозалаш,К2-7,1000 m2,"0.024 (0,024)"
3,3. Цементбетон қопламаларни сақлаш учун вақт меъёрлари,4,23,variant_or_continuation,,,3-7-1,Қўл кучи билан,,,"1,9"
3,3. Цементбетон қопламаларни сақлаш учун вақт меъёрлари,4,24,norm,,3-9,3-9,Қўл кучи билан турли чиқиндилардан тозалаш,К1-11,1 km,0.98
4,4. Қора-шағал қопламаларни сақлаш учун вақт меъёрлари,5,2,norm,,4-1-1,4-1-1,Қопламанинг бузилган жойларини таъмирлаш:,К2-1,,
4,4. Қора-шағал қопламаларни сақлаш учун вақт меъёрлари,5,3,norm,,4-1-1а,4-1-1а,эски қопламани бузмасдан,,,
4,4. Қора-шағал қопламаларни сақлаш учун вақт меъёрлари,5,4,norm,,4-1-1а,4-1-1а,1 m2 юзада 50 mm қалинликда,,1 m2,0.44
4,4. Қора-шағал қопламаларни сақлаш учун вақт меъёрлари,5,5,variant_or_continuation,,,4-1-1а,70 mm қалинликда,,1 m2,0.54
4,4. Қора-шағал қопламаларни сақлаш учун вақт меъёрлари,5,6,variant_or_continuation,,,4-1-1а,2 m2 юзада 50 mm қалинликда,,1 m2,0.38
4,4. Қора-шағал қопламаларни сақлаш учун вақт меъёрлари,5,7,variant_or_continuation,,,4-1-1а,70 mm қалинликда,,1 m2,0.44
4,4. Қора-шағал қопламаларни сақлаш учун вақт меъёрлари,5,8,variant_or_continuation,,,4-1-1а,3 m2 юзада 50 mm қалинликда,,1 m2,0.33
4,4. Қора-шағал қопламаларни сақлаш учун вақт меъёрлари,5,9,variant_or_continuation,,,4-1-1а,70 mm қалинликда,,1 m2,0.34
4,4. Қора-шағал қопламаларни сақлаш учун вақт меъёрлари,5,10,variant_or_continuation,,,4-1-1а,10 m2 юзада 50 mm қалинликда,,1 m2,0.18
4,4. Қора-шағал қопламаларни сақлаш учун вақт меъёрлари,5,11,variant_or_continuation,,,4-1-1а,70 mm қалинликда,,1 m2,0.22
4,4. Қора-шағал қопламаларни сақлаш учун вақт меъёрлари,5,12,variant_or_continuation,,,4-1-1а,25 m2 юзада 50 mm қалинликда,,1 m2,0.1
4,4. Қора-шағал қопламаларни сақлаш учун вақт меъёрлари,5,13,variant_or_continuation,,,4-1-1а,70 mm қалинликда,,1 m2,0.13
4,4. Қора-шағал қопламаларни сақлаш учун вақт меъёрлари,5,14,norm,,4-2-1,4-2-1,Оғирлиги 5-6 t бўлган каток билан ямоқ қилинган йўл қисмларини зичлаш,К2-2,100 m2,1.1
4,4. Қора-шағал қопламаларни сақлаш учун вақт меъёрлари,5,15,norm,,4-3,4-3,Ямоқларни қўлга мосланган зичлагич билан зичлаш,К2-3,100 m2,0.67
4,4. Қора-шағал қопламаларни сақлаш учун вақт меъёрлари,5,16,norm,,4-4-1,4-4-1,Йўл ўқ чизиқларини механизм ёрдамида чизиш,К2-9,1 km,"3,95 (0,79)"
4,4. Қора-шағал қопламаларни сақлаш учун вақт меъёрлари,5,17,norm,,4-5-1,4-5-1,Пиёдалар ўтиш жойини қўлда чизиш,,,
4,4. Қора-шағал қопламаларни сақлаш учун вақт меъёрлари,5,18,norm,,4-6-1а,4-6-1а,Трафарет билан,К2-10а,1 m2,"0,23"
4,4. Қора-шағал қопламаларни сақлаш учун вақт меъёрлари,5,19,norm,,4-6-1б,4-6-1б,Трафаретсиз,К2-10б,1 m2,"0,27"
4,4. Қора-шағал қопламаларни сақлаш учун вақт меъёрлари,5,20,norm,,4-7-1,4-7-1,Қўл кучи билан турли чиқиндилардан тозалаш,К1-11,1km,0.98
4,4. Қора-шағал қопламаларни сақлаш учун вақт меъёрлари,5,21,norm,,4-8-1,4-8-1,Қопламани махсус машиналарлар ёрдамида чанг ва ифлосликлардан тозалаш,К2-8,100 m2,"0,024 (0,024)"
4,4. Қора-шағал қопламаларни сақлаш учун вақт меъёрлари,5,22,variant_or_continuation,,,4-8-1,Қўл кучи билан,,,"1,9"
5,5. Шағалли ва чақилган тошли қопламаларни сақлаш учун вақт меъёрлари,6,3,norm,,5-1-1,5-1-1,Автогрейдер билан қоплама профилини текислаш,К5-1,1 km прох,"0,26 (0,26)"
5,5. Шағалли ва чақилган тошли қопламаларни сақлаш учун вақт меъёрлари,6,4,norm,,5-2-1,5-2-1,Қўл кучи билан турли чиқиндилардан тозалаш,К1-11,1 km,0.98
5,5. Шағалли ва чақилган тошли қопламаларни сақлаш учун вақт меъёрлари,6,5,norm,,5-3-1,5-3-1,Қопламани махсус машиналарлар ёрдамида чанг ва ифлосликлардан тозалаш,К2-8,100 m2,"0,024 (0,024)"
5,5. Шағалли ва чақилган тошли қопламаларни сақлаш учун вақт меъёрлари,6,6,variant_or_continuation,,,5-3-1,Қўл кучи билан,,,"2,1"
5,5. Шағалли ва чақилган тошли қопламаларни сақлаш учун вақт меъёрлари,6,7,norm,,5-4-1,5-4-1,Шағал қопламанинг бузилган жойларини таъмирлаш: чуқурлиги 30 mm гача,К5-2,1 m2,"0,16"
5,5. Шағалли ва чақилган тошли қопламаларни сақлаш учун вақт меъёрлари,6,8,variant_or_continuation,,,5-4-1,60 mm гача қалинликда,,1 m2,"0,18"
5,5. Шағалли ва чақилган тошли қопламаларни сақлаш учун вақт меъёрлари,6,9,variant_or_continuation,,,5-4-1,100 mm гача қалинликда,,1 m2,"0,26"
5,5. Шағалли ва чақилган тошли қопламаларни сақлаш учун вақт меъёрлари,6,10,norm,,5-5-1,5-5-1,Чақилган тошли қопламанинг бузилган жойларини таъмирлаш: чуқурлги 30 mm гача,К5-2,1 m2,"0,16"
5,5. Шағалли ва чақилган тошли қопламаларни сақлаш учун вақт меъёрлари,6,11,variant_or_continuation,,,5-5-1,60 mm гача қалинликда,,1 m2,"0,25"
5,5. Шағалли ва чақилган тошли қопламаларни сақлаш учун вақт меъёрлари,6,12,variant_or_continuation,,,5-5-1,100 mm гача қалинликда,,1 m2,"0,35"
5,5. Шағалли ва чақилган тошли қопламаларни сақлаш учун вақт меъёрлари,6,13,norm,,5-6-1,5-6-1,Шағалли ва тупроқли йўлларни автогрейдер ёрдамида профилини таъмирлаш: йўл кенглиги 6 m гача,К5-3,1km,"0,8 (0,8)"
5,5. Шағалли ва чақилган тошли қопламаларни сақлаш учун вақт меъёрлари,6,14,variant_or_continuation,,,5-6-1,Кенглиги 7 m гача,,1 km,"1,1 (1,1)"
5,5. Шағалли ва чақилган тошли қопламаларни сақлаш учун вақт меъёрлари,6,15,variant_or_continuation,,,5-6-1,Кенглиги 9 m гача,,1 km,"1,2 (1,2)"
5,5. Шағалли ва чақилган тошли қопламаларни сақлаш учун вақт меъёрлари,6,16,variant_or_continuation,,,5-6-1,Кенглиги 11 m гача,,1 km,"1,4 (1,4)"
6,6. Тупроқ йўлни сақлаш учун вақт меъёрлари (6 m кенгликда),7,2,norm,,6-1-1,6-1-1,Автогрейдер билан қоплама профилини тўғрилаш,К5-1,1 km,"0,26"
6,6. Тупроқ йўлни сақлаш учун вақт меъёрлари (6 m кенгликда),7,3,norm,,6-2-2,6-2-2,Турли предмет ва чиқиндилардан тозалаш,К1-11,1 km,0.98
6,6. Тупроқ йўлни сақлаш учун вақт меъёрлари (6 m кенгликда),7,4,norm,,6-3-1,6-3-1,Тупроқли йўлларни автогрейдер ёрдамида профилини таъмирлаш: йўл кенглиги 6 m гача,К5-3,1 km,"0,73 (0,73)"
6,6. Тупроқ йўлни сақлаш учун вақт меъёрлари (6 m кенгликда),7,5,norm,,6-3-2,6-3-2,Кенглиги 7 m гача,К5-3а,1 km,"0,95 (0,95)"
6,6. Тупроқ йўлни сақлаш учун вақт меъёрлари (6 m кенгликда),7,6,norm,,6-3-3,6-3-3,Кенглиги 9 m гача,К5-3б,1 km,"1,1 (1,1)"
6,6. Тупроқ йўлни сақлаш учун вақт меъёрлари (6 m кенгликда),7,7,norm,,6-3-4,6-3-4,кенглиги 11 m гача,К5-3в,1 km,"1,3 (1,3)"
7,7. Сунъий иншоотларни сақлаш учун вақт меъёрлари,8,3,heading,1. Сув ўтказувчи қувурлар,,,1. Сув ўтказувчи қувурлар,,,
7,7. Сунъий иншоотларни сақлаш учун вақт меъёрлари,8,4,norm,1. Сув ўтказувчи қувурлар,7-1-1,7-1-1,"Қувур тешикларини, кириш- чиқиш қисмларини, ариқлар ўзанини ҳар-хил тиқилмалардан, тўпланиб қолган чиқиндилардан тозалаш",К7-1,1 m3,"0,70"
7,7. Сунъий иншоотларни сақлаш учун вақт меъёрлари,8,5,norm,1. Сув ўтказувчи қувурлар,7-1-2,7-1-2,Қувур каллакларини атрофидаги ўтлардан тозалаш,К7-2,100 m2,"0,41"
7,7. Сунъий иншоотларни сақлаш учун вақт меъёрлари,8,6,norm,1. Сув ўтказувчи қувурлар,7-1-3,7-1-3,Қувур каллаклари оқлаш,К7-3,1 m2,"0,10"
